date,channel,ad_spend_usd,leads,qualified_leads,client_meetings,deals_closed
2026-01-01,LinkedIn Ads,192.07,13,8,4,2
2026-01-01,Google Ads,264.1,12,2,0,0
2026-01-01,Meta Ads,101.21,13,5,2,1
2026-01-01,Referral,0.0,5,3,1,0
2026-01-01,Organic / SEO,0.0,5,2,2,2
2026-01-02,LinkedIn Ads,292.87,7,4,1,0
2026-01-02,Google Ads,235.85,16,2,0,0
2026-01-02,Meta Ads,127.98,11,2,2,1
2026-01-02,Referral,0.0,5,1,1,1
2026-01-02,Organic / SEO,0.0,7,3,2,0
2026-01-03,LinkedIn Ads,186.76,8,1,0,0
2026-01-03,Google Ads,109.31,6,2,2,1
2026-01-03,Meta Ads,68.18,3,0,0,0
2026-01-03,Referral,0.0,2,0,0,0
2026-01-03,Organic / SEO,0.0,2,0,0,0
2026-01-04,LinkedIn Ads,169.46,6,3,2,0
2026-01-04,Google Ads,163.64,6,3,2,1
2026-01-04,Meta Ads,55.85,3,2,0,0
2026-01-04,Referral,0.0,2,1,1,1
2026-01-04,Organic / SEO,0.0,2,0,0,0
2026-01-05,LinkedIn Ads,289.39,13,4,2,1
2026-01-05,Google Ads,161.51,10,2,1,1
2026-01-05,Meta Ads,142.34,5,3,1,0
2026-01-05,Referral,0.0,5,2,2,0
2026-01-05,Organic / SEO,0.0,2,1,1,0
2026-01-06,LinkedIn Ads,201.59,12,6,3,1
2026-01-06,Google Ads,221.91,9,3,2,1
2026-01-06,Meta Ads,112.38,7,0,0,0
2026-01-06,Referral,0.0,4,1,1,0
2026-01-06,Organic / SEO,0.0,4,2,0,0
2026-01-07,LinkedIn Ads,186.37,14,6,2,1
2026-01-07,Google Ads,239.94,18,5,2,1
2026-01-07,Meta Ads,130.75,8,4,2,1
2026-01-07,Referral,0.0,5,3,0,0
2026-01-07,Organic / SEO,0.0,6,2,0,0
2026-01-08,LinkedIn Ads,303.34,10,2,1,0
2026-01-08,Google Ads,206.23,14,6,3,1
2026-01-08,Meta Ads,100.64,12,3,1,1
2026-01-08,Referral,0.0,1,1,1,1
2026-01-08,Organic / SEO,0.0,8,4,3,0
2026-01-09,LinkedIn Ads,290.25,15,5,2,0
2026-01-09,Google Ads,181.61,20,7,4,0
2026-01-09,Meta Ads,152.27,10,6,2,2
2026-01-09,Referral,0.0,3,2,1,0
2026-01-09,Organic / SEO,0.0,4,4,1,1
2026-01-10,LinkedIn Ads,109.81,5,1,1,0
2026-01-10,Google Ads,113.8,5,1,0,0
2026-01-10,Meta Ads,82.63,3,2,1,0
2026-01-10,Referral,0.0,2,1,1,0
2026-01-10,Organic / SEO,0.0,3,3,2,0
2026-01-11,LinkedIn Ads,149.08,3,0,0,0
2026-01-11,Google Ads,103.06,7,1,0,0
2026-01-11,Meta Ads,101.23,6,1,0,0
2026-01-11,Referral,0.0,1,1,1,0
2026-01-11,Organic / SEO,0.0,4,3,1,0
2026-01-12,LinkedIn Ads,266.96,12,5,4,0
2026-01-12,Google Ads,182.5,19,3,2,1
2026-01-12,Meta Ads,142.19,13,2,1,0
2026-01-12,Referral,0.0,4,2,1,0
2026-01-12,Organic / SEO,0.0,4,2,0,0
2026-01-13,LinkedIn Ads,259.55,15,5,2,1
