vacancy_id,client_name,role_title,department,recruiter_id,opened_date,filled_date,status,source_channel,monthly_fee_usd,candidate_country
V0001,Riverbend Clinics,SDR / Appointment Setter,Marketing & Sales,R12,2025-11-14,2025-12-25,Filled,LinkedIn,1260,Peru
V0002,Harbor Dental Partners,IT Support Specialist,Tech,R02,2026-05-03,2026-05-15,Filled,Job Board,1570,Philippines
V0003,Atlas E-commerce,Bookkeeper,Finance & Ops,R05,2026-02-20,2026-03-17,Filled,LinkedIn,1760,Colombia
V0004,Nova Legal Group,Bookkeeper,Finance & Ops,R04,2026-02-13,,Cancelled,Referral,,
V0005,Everline Solar,Customer Support Rep,Marketing & Sales,R08,2026-04-04,,Cancelled,LinkedIn,,
V0006,Redwood Media,Full-Stack Developer,Tech,R01,2026-01-28,2026-03-27,Filled,LinkedIn,2900,Mexico
V0007,Sterling Property Mgmt,Customer Support Rep,Marketing & Sales,R07,2026-02-14,2026-03-29,Filled,LinkedIn,1190,Mexico
V0008,Summit Logistics,Customer Support Rep,Marketing & Sales,R09,2026-01-21,,Open,Job Board,,
V0009,Falcon Freight,Accountant,Finance & Ops,R04,2026-02-15,2026-04-08,Filled,Referral,2350,Mexico
V0010,Solstice Wellness,Customer Support Rep,Marketing & Sales,R08,2026-05-23,,Cancelled,Referral,,
V0011,Nova Legal Group,Marketing Specialist,Marketing & Sales,R09,2026-04-23,,Cancelled,Job Board,,
V0012,Atlas E-commerce,Full-Stack Developer,Tech,R02,2025-12-18,,Open,Referral,,
V0013,Maple & Main Retail,Project Manager,Finance & Ops,R06,2026-06-28,,Open,Job Board,,
V0014,Solstice Wellness,Customer Support Rep,Marketing & Sales,R09,2026-02-14,2026-04-25,Filled,Internal Database,1320,Colombia
V0015,Falcon Freight,Executive Assistant,Finance & Ops,R05,2026-06-14,,Cancelled,Referral,,
V0016,Riverbend Clinics,IT Support Specialist,Tech,R03,2025-12-18,,Cancelled,LinkedIn,,
V0017,Peak Staffing Co,Data Analyst,Tech,R03,2025-11-27,,Open,LinkedIn,,
V0018,BlueOak Financial,Marketing Specialist,Marketing & Sales,R07,2025-11-10,,Cancelled,Job Board,,
V0019,Everline Solar,SDR / Appointment Setter,Marketing & Sales,R09,2025-12-24,2026-02-01,Filled,Job Board,1560,Peru
V0020,Copperfield Law,IT Support Specialist,Tech,R10,2026-03-09,,Open,Referral,,
V0021,Peak Staffing Co,IT Support Specialist,Tech,R01,2026-01-24,2026-03-06,Filled,LinkedIn,1750,Peru
V0022,Copperfield Law,Social Media Manager,Marketing & Sales,R08,2025-10-31,2025-12-24,Filled,LinkedIn,1320,Colombia
V0023,Peak Staffing Co,Customer Support Rep,Marketing & Sales,R08,2026-06-06,,Cancelled,Job Board,,
V0024,Sterling Property Mgmt,Accountant,Finance & Ops,R04,2026-01-06,2026-03-13,Filled,Internal Database,1940,Venezuela
V0025,Vertex Home Services,Data Analyst,Tech,R01,2025-11-20,2025-12-15,Filled,LinkedIn,2140,Mexico
V0026,Grandview Hospitality,Project Manager,Finance & Ops,R11,2025-12-11,2026-01-01,Filled,LinkedIn,2420,Venezuela
V0027,Pinnacle Auto Group,Customer Support Rep,Marketing & Sales,R07,2025-10-08,,Open,Referral,,
V0028,Sterling Property Mgmt,IT Support Specialist,Tech,R01,2026-04-24,2026-06-24,Filled,LinkedIn,1400,Argentina
V0029,Solstice Wellness,Social Media Manager,Marketing & Sales,R08,2026-06-07,2026-06-26,Filled,Referral,1430,Peru
V0030,Copperfield Law,Social Media Manager,Marketing & Sales,R07,2026-03-10,2026-04-11,Filled,LinkedIn,1590,Colombia
V0031,TrueNorth SaaS,QA Engineer,Tech,R01,2025-11-05,,Cancelled,LinkedIn,,
V0032,Vertex Home Services,Marketing Specialist,Marketing & Sales,R07,2025-10-21,2025-12-12,Filled,Job Board,1910,Argentina
V0033,ClearPath Accounting,Bookkeeper,Finance & Ops,R06,2026-01-31,2026-03-22,Filled,Internal Database,1700,Venezuela
V0034,Nova Legal Group,Full-Stack Developer,Tech,R10,2025-10-05,,Cancelled,Referral,,
V0035,Redwood Media,SDR / Appointment Setter,Marketing & Sales,R08,2026-02-13,,Open,LinkedIn,,
V0036,BlueOak Financial,Project Manager,Finance & Ops,R04,2026-03-04,,Cancelled,LinkedIn,,
V0037,Maple & Main Retail,Full-Stack Developer,Tech,R03,2025-12-19,2026-02-12,Filled,Job Board,2630,Mexico
V0038,Falcon Freight,Executive Assistant,Finance & Ops,R11,2026-06-16,2026-07-04,Filled,Referral,1740,Colombia
V0039,Solstice Wellness,Executive Assistant,Finance & Ops,R04,2025-10-23,2025-12-07,Filled,Referral,1280,Mexico
V0040,Summit Logistics,Social Media Manager,Marketing & Sales,R07,2026-05-07,2026-06-07,Filled,Job Board,1870,Peru
V0041,Vertex Home Services,Marketing Specialist,Marketing & Sales,R12,2025-12-15,2026-01-01,Filled,Job Board,1720,Argentina
V0042,Riverbend Clinics,Customer Support Rep,Marketing & Sales,R09,2025-11-22,,Open,Job Board,,
V0043,Pinnacle Auto Group,IT Support Specialist,Tech,R02,2025-12-23,,Open,Job Board,,
V0044,Summit Logistics,Social Media Manager,Marketing & Sales,R09,2026-02-05,2026-04-06,Filled,Internal Database,1720,Philippines
V0045,Brightline Health,IT Support Specialist,Tech,R10,2026-01-11,2026-02-21,Filled,Job Board,1890,Mexico
V0046,Redwood Media,Accountant,Finance & Ops,R06,2026-03-18,,Open,Job Board,,
V0047,Lakeside Insurance,Accountant,Finance & Ops,R04,2026-03-19,2026-04-22,Filled,LinkedIn,2380,Peru
V0048,Atlas E-commerce,Marketing Specialist,Marketing & Sales,R09,2026-05-11,,Cancelled,Internal Database,,
V0049,Redwood Media,IT Support Specialist,Tech,R01,2026-02-08,,Cancelled,Referral,,
V0050,Copperfield Law,Customer Support Rep,Marketing & Sales,R09,2026-03-19,,Cancelled,LinkedIn,,
V0051,Pinnacle Auto Group,Accountant,Finance & Ops,R11,2026-03-17,,Cancelled,Job Board,,
V0052,Vertex Home Services,Accountant,Finance & Ops,R06,2025-12-29,2026-02-17,Filled,Referral,2270,Argentina
V0053,Solstice Wellness,Marketing Specialist,Marketing & Sales,R12,2026-03-14,2026-05-25,Filled,LinkedIn,1970,Philippines
V0054,Ironwood Construction,Full-Stack Developer,Tech,R03,2026-02-23,2026-04-06,Filled,LinkedIn,3450,Brazil
V0055,Pinnacle Auto Group,IT Support Specialist,Tech,R01,2025-12-15,2026-01-05,Filled,Internal Database,1990,Venezuela
V0056,Everline Solar,Marketing Specialist,Marketing & Sales,R12,2026-01-08,2026-01-20,Filled,Internal Database,1670,Philippines
V0057,Summit Logistics,Accountant,Finance & Ops,R05,2026-01-21,,Open,Referral,,
V0058,Everline Solar,Full-Stack Developer,Tech,R02,2026-05-22,,Open,Internal Database,,
V0059,Solstice Wellness,Marketing Specialist,Marketing & Sales,R12,2026-06-16,,Open,Internal Database,,
V0060,Falcon Freight,Project Manager,Finance & Ops,R05,2026-02-10,,Open,LinkedIn,,
V0061,BlueOak Financial,Project Manager,Finance & Ops,R06,2025-11-09,2025-12-01,Filled,LinkedIn,2300,Mexico
V0062,Summit Logistics,Social Media Manager,Marketing & Sales,R08,2025-12-18,2026-02-27,Filled,LinkedIn,1540,Venezuela
V0063,Beacon Marketing,Accountant,Finance & Ops,R04,2026-04-18,,Open,LinkedIn,,
V0064,Grandview Hospitality,Bookkeeper,Finance & Ops,R11,2026-03-02,,Open,Job Board,,
V0065,ClearPath Accounting,SDR / Appointment Setter,Marketing & Sales,R12,2026-01-21,2026-02-05,Filled,Job Board,1460,Venezuela
V0066,Atlas E-commerce,Accountant,Finance & Ops,R11,2025-12-24,,Open,Referral,,
V0067,Harbor Dental Partners,Customer Support Rep,Marketing & Sales,R07,2025-10-14,,Cancelled,LinkedIn,,
V0068,Everline Solar,Accountant,Finance & Ops,R05,2026-03-17,2026-05-16,Filled,Internal Database,1870,Argentina
V0069,Peak Staffing Co,Accountant,Finance & Ops,R04,2026-02-07,2026-02-25,Filled,Job Board,2200,Argentina
V0070,Riverbend Clinics,Customer Support Rep,Marketing & Sales,R07,2025-10-21,,Open,LinkedIn,,
V0071,Everline Solar,QA Engineer,Tech,R01,2026-05-31,,Cancelled,LinkedIn,,
V0072,Ironwood Construction,Marketing Specialist,Marketing & Sales,R08,2025-11-28,,Open,Referral,,
V0073,Quantum IT Services,Accountant,Finance & Ops,R05,2026-04-22,2026-06-04,Filled,Job Board,2150,Colombia
V0074,Copperfield Law,Customer Support Rep,Marketing & Sales,R07,2025-12-01,2026-01-29,Filled,Job Board,1310,Colombia
V0075,Quantum IT Services,Data Analyst,Tech,R10,2026-05-04,,Cancelled,LinkedIn,,
V0076,Sterling Property Mgmt,QA Engineer,Tech,R03,2026-06-25,,Cancelled,Referral,,
V0077,Lakeside Insurance,Social Media Manager,Marketing & Sales,R09,2026-02-15,,Open,Internal Database,,
V0078,Harbor Dental Partners,IT Support Specialist,Tech,R10,2026-05-26,,Cancelled,Referral,,
V0079,Brightline Health,Bookkeeper,Finance & Ops,R06,2026-02-10,2026-03-29,Filled,Referral,1660,Peru
V0080,Quantum IT Services,IT Support Specialist,Tech,R02,2025-11-13,,Cancelled,Referral,,
V0081,Atlas E-commerce,Social Media Manager,Marketing & Sales,R12,2026-06-09,,Open,Job Board,,
V0082,Quantum IT Services,Executive Assistant,Finance & Ops,R11,2026-04-07,2026-05-31,Filled,Referral,1410,Argentina
V0083,Grandview Hospitality,Executive Assistant,Finance & Ops,R05,2026-02-06,2026-03-05,Filled,Internal Database,1320,Brazil
V0084,Vertex Home Services,Social Media Manager,Marketing & Sales,R08,2026-01-03,2026-02-20,Filled,LinkedIn,1590,Colombia
V0085,Summit Logistics,Bookkeeper,Finance & Ops,R06,2025-12-31,2026-02-16,Filled,Referral,1620,Colombia
V0086,Beacon Marketing,Social Media Manager,Marketing & Sales,R12,2025-12-04,2026-01-21,Filled,Referral,1310,Venezuela
V0087,Atlas E-commerce,QA Engineer,Tech,R03,2025-10-27,,Open,Referral,,
V0088,Peak Staffing Co,Marketing Specialist,Marketing & Sales,R08,2025-10-28,2025-12-17,Filled,LinkedIn,1890,Colombia
V0089,TrueNorth SaaS,Accountant,Finance & Ops,R11,2026-01-24,2026-03-31,Filled,Job Board,1950,Argentina
V0090,Harbor Dental Partners,Marketing Specialist,Marketing & Sales,R08,2025-11-20,,Cancelled,LinkedIn,,
V0091,Summit Logistics,SDR / Appointment Setter,Marketing & Sales,R08,2025-11-08,2026-01-19,Filled,LinkedIn,1470,Argentina
V0092,Falcon Freight,Social Media Manager,Marketing & Sales,R12,2026-02-22,2026-04-08,Filled,Referral,1440,Philippines
V0093,BlueOak Financial,IT Support Specialist,Tech,R01,2026-05-06,2026-06-21,Filled,LinkedIn,1790,Philippines
V0094,Atlas E-commerce,QA Engineer,Tech,R03,2026-03-07,2026-04-26,Filled,Internal Database,2170,Brazil
V0095,Solstice Wellness,SDR / Appointment Setter,Marketing & Sales,R12,2026-06-10,,Cancelled,LinkedIn,,
V0096,Maple & Main Retail,Executive Assistant,Finance & Ops,R04,2025-10-14,2025-10-28,Filled,Job Board,1600,Philippines
V0097,TrueNorth SaaS,Marketing Specialist,Marketing & Sales,R08,2025-10-21,2025-12-07,Filled,Referral,1960,Mexico
V0098,Harbor Dental Partners,Project Manager,Finance & Ops,R11,2025-11-16,2025-12-11,Filled,LinkedIn,2300,Philippines
V0099,Sterling Property Mgmt,Social Media Manager,Marketing & Sales,R09,2026-06-11,,Cancelled,LinkedIn,,
V0100,Maple & Main Retail,Executive Assistant,Finance & Ops,R04,2026-03-15,,Open,Internal Database,,
V0101,Falcon Freight,Project Manager,Finance & Ops,R04,2026-04-30,,Cancelled,Referral,,
V0102,Beacon Marketing,Data Analyst,Tech,R03,2026-01-13,2026-03-22,Filled,LinkedIn,2550,Brazil
V0103,Peak Staffing Co,Customer Support Rep,Marketing & Sales,R08,2026-01-31,2026-04-05,Filled,Internal Database,1110,Colombia
V0104,Copperfield Law,Full-Stack Developer,Tech,R01,2026-05-25,,Cancelled,Job Board,,
V0105,Vertex Home Services,Accountant,Finance & Ops,R11,2026-06-05,,Cancelled,Internal Database,,
V0106,Copperfield Law,SDR / Appointment Setter,Marketing & Sales,R07,2025-12-09,2026-02-12,Filled,LinkedIn,1670,Argentina
V0107,BlueOak Financial,Data Analyst,Tech,R03,2026-02-22,,Open,Referral,,
V0108,Vertex Home Services,Project Manager,Finance & Ops,R06,2026-03-26,2026-06-04,Filled,Internal Database,2490,Argentina
V0109,Solstice Wellness,IT Support Specialist,Tech,R02,2026-04-15,,Open,Referral,,
V0110,Cascade Realty,Accountant,Finance & Ops,R05,2026-04-16,2026-06-09,Filled,Internal Database,1630,Philippines
V0111,Beacon Marketing,Project Manager,Finance & Ops,R11,2025-11-21,2025-12-22,Filled,Job Board,2130,Colombia
