vacancy_id,client_name,role_title,department,recruiter_id,opened_date,filled_date,status,source_channel,monthly_fee_usd,candidate_country
V0852,Nova Legal Group,  Customer Support Rep ,Marketing & Sales,R07,2025-12-09,2026-01-30,Filled,LinkedIn,1410,Peru
V0423,Copperfield Law,IT Support Specialist,Tech,R02,2026-01-22,,Cancelled,LinkedIn,,
V0259,Atlas E-commerce,QA Engineer,Tech,R10,12/09/2025,2026-02-16,Filled,LinkedIn,2510,Philippines
V0294,Atlas E-commerce,IT Support Specialist,Tech,R01,2025-11-07,2025-12-08,Filled,LinkedIn,1630,Brazil
V0622,Beacon Marketing,Bookkeeper,Finance & Ops,R05,2026-01-16,2026-03-02,Filled,Job Board,1610,Peru
V0035,Redwood Media,SDR / Appointment Setter,Marketing & Sales,R08,2026-02-13,,Open,LinkedIn,,
V0771,BlueOak Financial,IT Support Specialist,Tech,R03,2026-06-05,,Open,LinkedIn,,
V0181,Summit Logistics,Full-Stack Developer,Tech,R10,2026-01-22,,Open,Referral,,
V0850,Redwood Media,Bookkeeper,Finance & Ops,R04,2026-05-05,,Open,Referral,,
V0701,Sterling Property Mgmt,Customer Support Rep,Marketing & Sales,R09,2025-11-09,2025-11-22,Filled,Referral,1550,Venezuela
V0157,Pinnacle Auto Group,Social Media Manager,Marketing & Sales,R12,2025-10-22,2025-12-13,Filled,Referral,1850,Peru
V0367,Ironwood Construction,QA Engineer,Tech,R01,2026-04-20,2026-05-18,Filled,LinkedIn,1850,Mexico
V0023,Peak Staffing Co,Customer Support Rep,Marketing & Sales,R08,2026-06-06,,Cancelled,Job Board,,
V0372,Brightline Health,Bookkeeper,Finance & Ops,R04,2026-04-21,,Cancelled,Internal Database,,
V0055,Pinnacle Auto Group,IT Support Specialist,Tech,R01,2025-12-15,2026-01-05,Filled,Internal Database,1990,Venezuela
V0494,Brightline Health,  Full-Stack Developer ,Tech,R10,2026-01-14,,Cancelled,Referral,,
V0037,Maple & Main Retail,Full-Stack Developer,Tech,R03,2025-12-19,2026-02-12,Filled,Job Board,2630,Mexico
V0735,Vertex Home Services,Social Media Manager,Marketing & Sales,R09,2026-04-24,2026-05-23,Filled,Job Board,1710,Argentina
V0323,Grandview Hospitality,SDR / Appointment Setter,Marketing & Sales,R08,2026-02-25,,Open,Referral,,
V0395,Beacon Marketing,Social Media Manager,Marketing & Sales,R07,2025-10-01,2025-11-03,Filled,Internal Database,1740,Venezuela
V0488,Vertex Home Services,SDR / Appointment Setter,Marketing & Sales,R12,2025-12-21,2026-02-15,Filled,Job Board,1440,Mexico
V0198,Nova Legal Group,Bookkeeper,Finance & Ops,R06,2026-05-11,,Cancelled,Job Board,,
V0876,ClearPath Accounting,Social Media Manager,Marketing & Sales,R08,2025-12-06,,Open,Job Board,,
